,feature,rank
0,walkDistance_over_matchDuration,1
1,boosts_mean_rank,1
2,players_in_team,1
3,walkDistance_mean_rank,1
4,numGroups,1
5,kills_mean_rank,2
6,totalDistance_mean_rank,3
7,players_in_team_mean_rank,4
8,weaponsAcquired_mean_rank,5
9,maxPlace,6
10,damageDealt_mean_rank,7
11,totalDistance_over_matchDuration,8
12,DBNOs_mean_rank,9
13,walkDistance_over_matchDuration_mean_rank,10
14,damageDealt,11
15,matchDuration,12
16,heals_mean_rank,13
17,swimDistance,14
18,weaponsAcquired_over_totalDistance_mean_rank,15
19,totalDistance_over_matchDuration_mean_rank,16
20,boosts_over_matchDuration_mean_rank,17
21,walkDistance,18
22,killPoints_mean_rank,19
23,winPoints_mean_rank,20
24,boosts,21
25,killnorm_mean_rank,22
26,killStreaks_mean_rank,23
27,longestKill_mean_rank,24
28,rideDistance_over_totalDistance,25
29,matchDuration_mean_rank,26
